timestamp_ms,symbol,price,size,side
4,ALB,118.745,27.1975,B
19,ALB,118.745,78.4994,B
28,ALB,118.752,38.2609,S
39,SQM,52.2938,51.3121,S
54,SQM,52.2993,34.309,B
55,SQM,52.3005,44.0843,B
67,SQM,52.3028,37.189,B
67,PLS,3.4241,64.9479,B
78,ALB,118.75,79.9226,S
79,SQM,52.3063,142.079,S
80,SQM,52.3061,95.5559,S
81,SQM,52.2983,65.796,S
85,SQM,52.2908,38.3891,B
98,SQM,52.2769,99.5287,B
100,ALB,118.76,62.1384,B
106,ALB,118.765,74.9164,B
109,ALB,118.755,73.2247,S
110,SQM,52.2801,98.9201,S
117,PLS,3.42939,32.3976,B
121,PLS,3.43069,60.7997,B
122,PLS,3.42931,66.6124,S
131,SQM,52.2804,124.075,S
153,SQM,52.286,78.3159,S
161,SQM,52.2724,76.622,B
166,ALB,118.762,54.7179,S
173,PLS,3.42245,24.1403,S
178,ALB,118.751,66.3447,S
184,SQM,52.2536,61.5938,S
187,PLS,3.4203,87.9667,B
187,ALB,118.752,26.0121,B
196,PLS,3.42299,55.6946,B
196,ALB,118.746,47.6651,S
219,PLS,3.41771,100.023,S
231,SQM,52.2525,101.165,B
246,ALB,118.731,73.0224,B
253,SQM,52.2435,93.1993,B
254,PLS,3.4252,46.1965,B
263,ALB,118.728,49.3641,S
263,PLS,3.43073,20.9557,S
277,ALB,118.716,61.3227,S
278,ALB,118.706,53.2035,B
287,PLS,3.42863,82.0069,S
314,ALB,118.7,25.05,S
316,ALB,118.681,62.8167,S
320,ALB,118.679,106.073,S
321,PLS,3.43507,60.878,S
342,SQM,52.2509,64.4859,B
355,ALB,118.674,29.2546,B
356,SQM,52.2556,88.2865,B
376,SQM,52.2598,60.0495,S
378,PLS,3.42691,51.7683,B
401,ALB,118.657,53.9833,S
415,ALB,118.667,58.0803,S
426,ALB,118.653,184.932,B
447,SQM,52.252,65.396,S
462,PLS,3.42162,67.1355,B
471,SQM,52.2488,27.1297,B
497,ALB,118.644,46.3884,S
506,PLS,3.42286,11.1632,B
524,SQM,52.2427,35.4882,B
529,PLS,3.42406,71.0264,B
536,PLS,3.41903,165.59,S
537,ALB,118.631,43.4816,S
555,ALB,118.638,135.827,S
557,ALB,118.656,23.8337,B
573,ALB,118.65,75.9872,B
574,ALB,118.65,29.3856,S
583,SQM,52.2296,32.8012,B
587,SQM,52.2381,50.5686,S
594,SQM,52.233,102.706,B
595,SQM,52.2263,32.2236,B
603,ALB,118.631,115.834,B
622,PLS,3.4206,51.7482,S
626,SQM,52.2255,93.0277,B
644,SQM,52.221,101.078,B
646,SQM,52.2144,54.0041,S
652,ALB,118.635,51.8307,S
658,SQM,52.2011,65.9643,S
665,ALB,118.634,68.2578,S
672,ALB,118.64,63.9993,S
675,SQM,52.2055,33.9288,B
678,ALB,118.649,69.1278,B
679,ALB,118.642,51.5649,S
686,PLS,3.42005,49.6068,B
694,ALB,118.647,33.7555,S
704,ALB,118.647,68.9484,S
706,PLS,3.41845,56.2299,S
712,PLS,3.41084,70.9238,B
716,SQM,52.2133,15.8814,B
726,PLS,3.3987,31.6307,S
729,PLS,3.39518,50.742,B
744,PLS,3.4001,62.3058,B
761,SQM,52.2221,66.5655,B
765,ALB,118.638,68.9184,B
767,SQM,52.2338,65.9492,B
772,ALB,118.629,44.0866,B
774,SQM,52.2353,32.0592,B
792,ALB,118.636,43.6433,S
809,ALB,118.631,20.7281,B
820,SQM,52.2453,48.7468,S
823,PLS,3.39699,26.021,S
829,ALB,118.625,73.425,B
833,PLS,3.3957,64.7063,B
843,ALB,118.607,36.8363,B
849,ALB,118.599,27.5745,B
864,ALB,118.597,30.8401,B
867,SQM,52.2632,31.596,B
867,PLS,3.39666,17.6439,B
869,PLS,3.39615,50.5175,S
875,ALB,118.598,75.4402,S
876,ALB,118.602,72.379,B
883,SQM,52.2717,45.0755,B
887,SQM,52.2644,21.2581,S
899,PLS,3.38889,101.627,S
904,SQM,52.2778,25.8123,S
916,PLS,3.38672,33.5137,S
921,ALB,118.588,89.738,S
939,ALB,118.579,45.3751,S
977,ALB,118.55,76.2749,B
992,PLS,3.3908,47.233,S
997,ALB,118.55,89.5286,S
1000,SQM,52.2775,27.8892,B
