window_start_ms,symbol,buy_volume,sell_volume,net_imbalance,imbalance_ratio,trade_count,robust_t_stat,alert
4318000,SQM,542.593,465.664,76.9291,0.076299,19,-0.0316565,0
4318500,SQM,549.264,784.93,-235.666,-0.176635,23,-1.11806,0
4319000,SQM,786.325,1018.38,-232.058,-0.128585,23,-1.10552,0
4319500,SQM,776.977,353.502,423.476,0.374598,16,1.15108,0
4320000,SQM,13799.3,2108.74,11690.5,0.734883,82,38.0214,1
4320500,SQM,14455.1,1668.27,12786.8,0.793061,75,39.7186,1
4321000,SQM,13035.4,898.621,12136.8,0.871018,78,36.0103,1
4321500,SQM,15208.6,1796.02,13412.6,0.788762,94,38.0194,1
4322000,SQM,11845.7,1712.44,10133.2,0.747392,77,28.6637,1
4322500,SQM,19133.7,1940.96,17192.7,0.815802,111,47.3659,1
4323000,SQM,15314,620.049,14694,0.922173,96,39.8089,1
4323500,SQM,12138.8,863.244,11275.6,0.867214,71,29.7821,1
4324000,SQM,12955.2,721.663,12233.5,0.894469,76,31.8867,1
4324500,SQM,18236.9,2451.93,15785,0.76297,111,40.032,1
4325000,SQM,1032.48,589.615,442.867,0.273021,26,0.808091,0
4325500,SQM,558.87,1158.74,-599.874,-0.349248,21,-1.68244,0
4326000,SQM,929.465,674.403,255.063,0.15903,25,0.348773,0
4326500,SQM,850.354,652.231,198.122,0.131854,23,0.211549,0
4327000,SQM,585.338,846.77,-261.432,-0.18255,25,-0.889738,0
4327500,SQM,883.525,459.351,424.174,0.31587,25,0.71135,0
